id,prospect_id,isnewleadprimary,assigned_to_user_id,position_role_id,leadid,name1,name2,email1,email2,mobile1,mobile2,landline1,landline2,camp_name,camp_id,reason,lastcalldate,cool_off_flag,cool_off_timestamp,is_member,product_id,interested,dnc_flag,is_active_lead_primary,hfrp_id,type_of_lead,handheld,qualified,qualified_at,qma_date,qma_flag,sms_confirmed,refer_id,age_group,offer,active_lead_id,web_data_source,city,data_collt_date,lead_stage,pullpushflag,status,lead_score,lead_status,lead_call_status,is_active,reason_for_interested,reason_for_followup,reason_for_qualified,callback_date,app_date,venue_list,app_address,app_location,pincode,remark,no_of_calls,no_of_call_attempts,landmark,sales_owner,marital_status,car_model,car_make,campaign_sub_type,price_bracket,occupation,last_call_date,promoter_name,promoter_agency,owner_user_id,keyword,placement,event_string,mobile_device,time_spent,os,concatenated_string,voucher_no,coupon_status,coupon_gen_date,voucher_valid_upto,car_make1,car_model1,car_make2,car_model2,type,team,calldisabled,opc_level_info,data_collection_date,preferredTime,prospectcity,prospectcountry,cardtype,frequentflyer,doyouownacar,daysholidaysinayr,adv_holiday_planned,refersourceId,datasource,source,mobiledevice,concatstring,lead_control_location,excel_type,is_web,is_excel,is_opportunity,opportunity_id,ib_lead_id,preferred_communication,preferred_day,preferred_time,device,response_coupon_no,web_accessed_from,device_serial_no,guest_member_flag,hep_member_id,lead_generated_user_2,no_of_times_leads_created,HFRP_referred_by,reason_for_rejection,reason_for_inactivation,cool_off_end_date,hep_average_rating,fresh_lead,hep_checkin_date,cooloff_end_date,referred_prospect_first_name,hep_source_name,hfrp_member_id,lead_generated_user_1,prname,reason_rej_inactive,is_segment,reason_id,created_at,created_by,updated_by,updated_at,track_record_id,is_customer
30,P-3twkapna6z,Y,NULL,126,L-n3mr491zpe,Test_5.,wizag test,NULL,NULL,9000000001,NULL,NULL,NULL,Jan 2017 PRO Bliss Leads Pune Pune,1,NULL,NULL,N,NULL,N,NULL,0,N,Y,NULL,,N,N,NULL,NULL,N,N,NULL,3,NULL,L-n3mr491zpe,NULL,13,NULL,Warm,pull,Active,0.01058,24,4,Y,1,0,,0000-00-00 00:00:00,NULL,10,,1,111111,NULL,NULL,NULL,NULL,82,2,NULL,NULL,NULL,NULL,7,0000-00-00 00:00:00,XYZ,XZ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,145,0,0,NULL,NULL,NULL,123,1/1/1970,NULL,237,4,NULL,NULL,NULL,NULL,NULL,NULL,Physical Form,NULL,NULL,NULL,0,4,NULL,4,Y,95,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,,NULL,11/21/2018 14:47,NULL,NULL,11/21/2018 14:57,,Y
31,P-3twkapna6z,Y,NULL,126,L-hzh9el6kg1,Test_5.,,,,9000000001,,,,Jul 2018 PRO Engagement Test Chennai,2,6,NULL,N,NULL,N,NULL,0,N,Y,NULL,,N,N,NULL,NULL,N,N,NULL,3,NULL,L-n3mr491zpe,NULL,8,NULL,Warm,push,Rejected,0.01058,9,1,N,0,0,,0000-00-00 00:00:00,NULL,0,,,,NULL,NULL,NULL,NULL,0,2,NULL,NULL,NULL,NULL,2,0000-00-00 00:00:00,ABC,AD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17,169,0,0,NULL,NULL,NULL,101,1/1/1970,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2,NULL,1,N,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,R,,6,11/21/2018 14:49,NULL,NULL,11/21/2018 14:49,,Y
32,P-80yy6fhgd4,Y,NULL,128,L-m67q0lkzzf,testTEst1 tes,,,,9890281001,,,,Jan 2017 PRO Bliss Leads Pune Pune,1,NULL,NULL,N,NULL,N,0,N,N,Y,229,Sales,N,N,NULL,11/21/2018 10:07,Y,N,NULL,2,2,L-5ed3wzqqrr,,8,NULL,Cold,pull,Active,0,22,4,N,0,0,,11/22/2018 17:00,11/22/2018 16:30,8,hgfds,2,1234543,,2,1,hgfds,82,2,194,4,0,0,2,11/21/2018 0:00,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,2,NULL,,NULL,NULL,NULL,0,0,NULL,NULL,Y,96,NULL,,,,NULL,,,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0000-00-00,NULL,,,NULL,,NULL,NULL,,NULL,0000-00-00 00:00:00,0,64,11/22/2018 5:30,,Y
33,P-ja8bq8nbzd,Y,NULL,147,L-asriieah3w,Rahul jinde,NULL,NULL,NULL,9000000002,NULL,NULL,NULL,Jan 2017 PRO Bliss Leads Pune Pune,1,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,Y,NULL,NULL,N,N,NULL,NULL,N,N,NULL,3,NULL,L-asriieah3w,NULL,13,NULL,Hot,pull,Active,0.05165,22,4,Y,NULL,NULL,NULL,NULL,NULL,10,NULL,1,111111,NULL,NULL,NULL,NULL,82,2,NULL,NULL,NULL,NULL,7,NULL,XYZ,XZ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,145,0,0,NULL,NULL,NULL,123,NULL,NULL,237,4,NULL,NULL,NULL,NULL,NULL,NULL,Physical Form,NULL,NULL,NULL,0,4,NULL,4,Y,97,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11/21/2018 15:57,NULL,NULL,11/21/2018 16:13,,Y
34,P-3rcwhkex87,Y,NULL,NULL,L-lngqlzrnl5,rr rr,,testingemail@gmail.com,,1212233232,,,,Jul 2018 Advertisement ERP Mumbai Vashi,12,NULL,NULL,N,NULL,N,NULL,N,N,Y,NULL,NULL,N,N,NULL,NULL,N,N,NULL,6,NULL,L-dmz133np5o,NULL,292,NULL,No Stage,pull,Active,0.00142,9,1,Y,0,0,0,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,0,0000-00-00 00:00:00,,,NULL,NULL,rr,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,,0,0,NULL,NULL,NULL,,,,292,,,,No,rr,NULL,Bliss-Join,Web Form,rr,rr,rr,0,0,1,NULL,N,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,,NULL,11/22/2018 12:01,NULL,NULL,11/22/2018 12:01,,Y
35,P-cpa71j1eyc,Y,NULL,NULL,L-plhidu64l2,test111 rr,,test111@gmail.com,,9807656754,,,,Jul 2018 Advertisement ERP Mumbai Vashi,12,NULL,NULL,N,NULL,N,NULL,N,N,Y,NULL,NULL,N,N,NULL,NULL,N,N,NULL,6,NULL,L-pzeur8r4do,NULL,292,NULL,No Stage,pull,Active,0.00142,9,1,Y,0,0,0,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,0,0000-00-00 00:00:00,,,NULL,NULL,rr,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,,0,0,NULL,NULL,NULL,,,,292,,,,No,rr,NULL,Bliss-Join,Web Form,rr,rr,rr,0,0,1,NULL,N,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,,NULL,11/22/2018 16:01,NULL,NULL,11/22/2018 16:01,,Y
36,P-t2oqcyntag,Y,NULL,128,L-pd7l65pyki,TestFname11 TestLname11,,testtest11@gmail.com,,9988736611,,,,Jul 2018 Advertisement ERP Mumbai Vashi,12,NULL,NULL,N,NULL,N,NULL,N,N,Y,NULL,NULL,N,N,NULL,NULL,N,N,NULL,6,NULL,L-3apx9btfv8,NULL,292,NULL,No Stage,pull,Active,0.00142,9,1,Y,0,0,0,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,0,0000-00-00 00:00:00,,,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,,0,0,NULL,NULL,NULL,,,,292,4,,,No,,NULL,FC,Web Form,,,,0,0,1,NULL,N,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,,NULL,11/22/2018 16:06,NULL,NULL,11/22/2018 16:06,,Y
37,P-t2oqcyntag,Y,NULL,137,L-5yavwi5iq0,TestFname11 TestLname11,,testtest11@gmail.com,,9988736611,,,,Jul 2018 Advertisement ERP Mumbai Vashi,12,6,NULL,N,NULL,N,NULL,N,N,Y,NULL,NULL,N,N,NULL,NULL,N,N,NULL,6,NULL,L-pd7l65pyki,NULL,292,NULL,No Stage,pull,Rejected,0.00142,9,1,N,0,0,0,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,0,0000-00-00 00:00:00,,,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,,0,0,NULL,NULL,NULL,,,,292,4,,,No,,NULL,FC,Web Form,,,,0,0,1,NULL,N,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,R,,6,11/22/2018 16:06,NULL,NULL,11/22/2018 16:06,,Y
38,P-t2oqcyntag,Y,NULL,137,L-kqp7pztidn,TestFname11 TestLname11,,testtest11@gmail.com,,9988736611,,,,Jul 2018 Advertisement ERP Mumbai Vashi,12,6,NULL,N,NULL,N,NULL,N,N,Y,NULL,NULL,N,N,NULL,NULL,N,N,NULL,6,NULL,L-pd7l65pyki,NULL,292,NULL,No Stage,pull,Rejected,0.00142,9,1,N,0,0,0,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,0,0000-00-00 00:00:00,,,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,,0,0,NULL,NULL,NULL,,,,292,4,,,No,,NULL,FC,Web Form,,,,0,0,1,NULL,N,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,R,,6,11/22/2018 16:06,NULL,NULL,11/22/2018 16:06,,Y
39,P-gd95no6157,Y,NULL,137,L-cy3z3n4ds1,TestFname11 TestLname11,,testtest17@gmail.com,,9988776500,,,,Jul 2018 Advertisement ERP Mumbai Vashi,12,NULL,NULL,N,NULL,N,NULL,N,N,Y,NULL,NULL,N,N,NULL,NULL,N,N,NULL,6,NULL,L-5sk52xk55o,NULL,292,NULL,No Stage,pull,Active,0.00142,9,1,Y,0,0,0,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,0,0000-00-00 00:00:00,,,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,,0,0,NULL,NULL,NULL,,,,292,4,,,No,,NULL,FC,Web Form,,,,0,0,1,NULL,N,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,,NULL,11/22/2018 16:11,NULL,NULL,11/22/2018 16:11,,Y
40,P-ijqct7pecr,Y,NULL,NULL,L-f39xchdc35,TestFname11 TestLname11,,testtest217@gmail.com,,9988776618,,,,Nov 2018 Advertisement Magazine Chennai,100,NULL,NULL,N,NULL,N,NULL,N,N,Y,NULL,NULL,N,N,NULL,NULL,N,N,NULL,6,NULL,L-4zyg49ldmb,NULL,90,NULL,No Stage,pull,Active,0.00142,9,1,Y,0,0,0,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,0,0000-00-00 00:00:00,,,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,,0,0,NULL,NULL,NULL,,,,90,4,,,No,,NULL,FC,Web Form,,,,0,0,1,NULL,N,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,,NULL,11/22/2018 16:31,NULL,NULL,11/22/2018 16:31,,Y
41,P-ijqct7pecr,Y,NULL,NULL,L-ti1f6tem6b,TestFname11 TestLname11,,testtest217@gmail.com,,9988776618,,,,Nov 2018 Advertisement Magazine Chennai,100,6,NULL,N,NULL,N,NULL,N,N,Y,NULL,NULL,N,N,NULL,NULL,N,N,NULL,6,NULL,L-f39xchdc35,NULL,90,NULL,No Stage,pull,Rejected,0.00142,9,1,N,0,0,0,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,0,0000-00-00 00:00:00,,,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,,0,0,NULL,NULL,NULL,,,,90,4,,,No,,NULL,FC,Web Form,,,,0,0,1,NULL,N,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,R,,6,11/22/2018 16:36,NULL,NULL,11/22/2018 16:36,,Y
42,P-quopiecj49,Y,NULL,NULL,L-o2t70xjdtu,TestFname11 TestLname11,,testtest2117@gmail.com,,9988776619,,,,Nov 2018 Advertisement Magazine Chennai,100,NULL,NULL,N,NULL,N,NULL,N,N,Y,NULL,NULL,N,N,NULL,NULL,N,N,NULL,8,NULL,L-54e2tqqiak,NULL,90,NULL,No Stage,pull,Active,0.00425,9,1,Y,0,0,0,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,0,0000-00-00 00:00:00,,,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,,0,0,NULL,NULL,NULL,,,,90,4,,,No,,NULL,FC,Web Form,,,,0,0,1,NULL,N,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,,NULL,11/22/2018 16:38,NULL,NULL,11/22/2018 16:38,,Y
43,P-kd2dtuo8f1,Y,NULL,NULL,L-rkh3ubqpk1,TestFname11 TestLname11,,testtest21171@gmail.com,,9988776659,,,,Nov 2018 Advertisement Magazine Chennai,100,NULL,NULL,N,NULL,N,NULL,N,N,Y,NULL,NULL,N,N,NULL,NULL,N,N,NULL,8,NULL,L-3ctbet016g,NULL,90,NULL,No Stage,pull,Active,0.00425,9,1,Y,0,0,0,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,0,0000-00-00 00:00:00,,,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,,0,0,NULL,NULL,NULL,,,,90,4,,,No,,NULL,FC,Web Form,,,,0,0,1,NULL,N,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,,NULL,11/22/2018 16:43,NULL,NULL,11/22/2018 16:43,,Y
44,P-mcjbv42inf,Y,NULL,NULL,L-crnsuborpd,TestFname11 TestLname11,,testtest211@gmail.com,,9988776699,,,,Nov 2018 Advertisement Magazine Chennai,100,NULL,NULL,N,NULL,N,NULL,N,N,Y,NULL,NULL,N,N,NULL,NULL,N,N,NULL,6,NULL,L-muv1l0evsy,NULL,90,NULL,No Stage,pull,Active,0.00142,9,1,Y,0,0,0,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,0,0000-00-00 00:00:00,,,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,,0,0,NULL,NULL,NULL,,,,90,4,,,No,,NULL,IB-123,Web Form,,,,0,0,1,NULL,N,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,,NULL,11/22/2018 16:48,NULL,NULL,11/22/2018 16:48,,Y
45,P-a3w6os6ywh,Y,NULL,NULL,L-9dzyg1m3gq,TestFname11 TestLname11,,testtest219@gmail.com,,9988776689,,,,Nov 2018 Advertisement Magazine Chennai,100,NULL,NULL,N,NULL,N,NULL,N,N,Y,NULL,NULL,N,N,NULL,NULL,N,N,NULL,6,NULL,L-sip8qiuka7,NULL,123,NULL,No Stage,pull,Active,0.00142,9,1,Y,0,0,0,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,0,0000-00-00 00:00:00,,,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,,0,0,NULL,NULL,NULL,,,,123,,,,No,,NULL,CX-123,Web Form,,,,0,0,1,NULL,N,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,,NULL,11/22/2018 16:54,NULL,NULL,11/22/2018 16:54,,Y
46,P-j98gfaqkr9,Y,NULL,0,L-iweckmisaa,Test_256.,,,,7000000260,,,,Nov 2018 PRO Malls EA Mall Chennai,101,NULL,NULL,N,NULL,N,NULL,0,N,Y,NULL,,N,N,NULL,NULL,N,N,NULL,3,NULL,L-cinblxn84n,NULL,13,NULL,Warm,push,Active,0.01058,9,1,Y,0,0,,0000-00-00 00:00:00,NULL,0,,,,NULL,NULL,NULL,NULL,0,2,NULL,NULL,NULL,NULL,2,0000-00-00 00:00:00,XYZ,AD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17,169,0,0,NULL,NULL,NULL,100,1/1/1970,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2,NULL,1,N,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,,NULL,11/23/2018 11:26,NULL,NULL,11/23/2018 11:26,,Y
47,P-q1ou7sl08p,Y,NULL,0,L-4n9cispmjt,Test_257.,,,,7000000261,,,,Nov 2018 PRO Malls EA Mall Chennai,101,NULL,NULL,N,NULL,N,NULL,0,N,Y,NULL,,N,N,NULL,NULL,N,N,NULL,3,NULL,L-5siffduzan,NULL,13,NULL,Warm,push,Active,0.0094,9,1,Y,0,0,,0000-00-00 00:00:00,NULL,0,,,,NULL,NULL,NULL,NULL,0,2,NULL,NULL,NULL,NULL,2,0000-00-00 00:00:00,XYZ,AD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,174,0,0,NULL,NULL,NULL,100,1/1/1970,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2,NULL,1,N,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,,NULL,11/23/2018 11:26,NULL,NULL,11/23/2018 11:26,,Y
48,P-4li8etg6fs,Y,NULL,0,L-bt8mph9mhn,Test_258.,,,,7000000262,,,,Nov 2018 PRO Malls EA Mall Chennai,101,NULL,NULL,N,NULL,N,NULL,0,N,Y,NULL,,N,N,NULL,NULL,N,N,NULL,3,NULL,L-o0rthv5keb,NULL,13,NULL,Warm,push,Active,0.01112,9,1,Y,0,0,,0000-00-00 00:00:00,NULL,0,,,,NULL,NULL,NULL,NULL,0,2,NULL,NULL,NULL,NULL,2,0000-00-00 00:00:00,XYZ,AD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13,243,0,0,NULL,NULL,NULL,100,1/1/1970,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2,NULL,1,N,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,,NULL,11/23/2018 11:26,NULL,NULL,11/23/2018 11:26,,Y
49,P-fa76s5n198,Y,NULL,0,L-p9xkud6hdu,Test_259.,,,,7000000263,,,,Nov 2018 PRO Malls EA Mall Chennai,101,NULL,NULL,N,NULL,N,NULL,0,N,Y,NULL,,N,N,NULL,NULL,N,N,NULL,3,NULL,L-5kko3tgy2x,NULL,13,NULL,Warm,push,Active,0.01488,9,1,Y,0,0,,0000-00-00 00:00:00,NULL,0,,,,NULL,NULL,NULL,NULL,0,2,NULL,NULL,NULL,NULL,2,0000-00-00 00:00:00,XYZ,AD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,170,0,0,NULL,NULL,NULL,100,1/1/1970,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2,NULL,1,N,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,,NULL,11/23/2018 11:26,NULL,NULL,11/23/2018 11:26,,Y
50,P-3okc9xqn87,Y,NULL,0,L-7ignas7g6o,Test_260.,,,,7000000264,,,,Nov 2018 PRO Malls EA Mall Chennai,101,NULL,NULL,N,NULL,N,NULL,0,N,Y,NULL,,N,N,NULL,NULL,N,N,NULL,3,NULL,L-3say8ysj23,NULL,13,NULL,Hot,push,Active,0.02765,9,1,Y,0,0,,0000-00-00 00:00:00,NULL,0,,,,NULL,NULL,NULL,NULL,0,2,NULL,NULL,NULL,NULL,2,0000-00-00 00:00:00,XYZ,AD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,26,22,0,0,NULL,NULL,NULL,100,1/1/1970,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2,NULL,1,N,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,,NULL,11/23/2018 11:26,NULL,NULL,11/23/2018 11:26,,Y
51,P-jtdjwlahmb,Y,NULL,126,L-kz8mqn93ti,Test_261.,,,,7000000265,,,,Nov 2018 PRO Malls EA Mall Chennai,101,NULL,NULL,N,NULL,N,NULL,0,N,Y,NULL,,N,N,NULL,NULL,N,N,NULL,3,NULL,L-bq6pyc80lz,NULL,8,NULL,Hot,push,Active,0.02765,9,1,Y,0,0,,0000-00-00 00:00:00,NULL,0,,,,NULL,NULL,NULL,NULL,0,2,NULL,NULL,NULL,NULL,2,0000-00-00 00:00:00,XYZ,AD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,26,22,0,0,NULL,NULL,NULL,100,1/1/1970,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2,NULL,1,N,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,,NULL,11/23/2018 11:26,NULL,NULL,11/23/2018 11:26,,N
52,P-ol8522c6t6,Y,NULL,126,L-eb7hlumdv2,Test_262.,,,,7000000266,,,,Nov 2018 PRO Malls EA Mall Chennai,101,NULL,NULL,N,NULL,N,NULL,0,N,Y,NULL,,N,N,NULL,NULL,N,N,NULL,3,NULL,L-a7w9wpqbeq,NULL,8,NULL,Hot,push,Active,0.02765,9,1,Y,0,0,,0000-00-00 00:00:00,NULL,0,,,,NULL,NULL,NULL,NULL,0,2,NULL,NULL,NULL,NULL,2,0000-00-00 00:00:00,XYZ,AD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,26,22,0,0,NULL,NULL,NULL,100,1/1/1970,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2,NULL,1,N,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,,NULL,11/23/2018 11:26,NULL,NULL,11/23/2018 11:26,,N
53,P-b71cm63hga,Y,NULL,126,L-sotea77z7k,Test_263.,,,,7000000267,,,,Nov 2018 PRO Malls EA Mall Chennai,101,NULL,NULL,N,NULL,N,NULL,0,N,Y,NULL,,N,N,NULL,NULL,N,N,NULL,3,NULL,L-4msmd0ya2n,NULL,8,NULL,Hot,push,Active,0.02765,9,1,Y,0,0,,0000-00-00 00:00:00,NULL,0,,,,NULL,NULL,NULL,NULL,0,2,NULL,NULL,NULL,NULL,2,0000-00-00 00:00:00,XYZ,AD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,26,22,0,0,NULL,NULL,NULL,100,1/1/1970,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2,NULL,1,N,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,,NULL,11/23/2018 11:26,NULL,NULL,11/23/2018 11:26,,N
